keperluan,izin
berjumpa dengan orang tua yang sedang pulang kampung ke siantar,IB
exit clearence,IB
bertemu dengan keluarga(ib perdana),IB
libur natal dan tahun baru,IB
liburan akhir semester,IB
berjumpa dengan keluarga,IB
bertemu keluarga,IB
lockdown kampus dan melakukan perkuliahan jarak jauh dari rumah masing masing,IB
liburan uas,IB
refreshing setelah melakukan seminar ta-1,IB
bertemu dengan keluarga,IB
bertemu dengan keluarga,IB
berjumpa keluarga di siantar,IB
bertemu keluarga si siantar,IB
bertemu keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung ke sumatera utara,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung,IB
berjumpa dengan orang tua yang sedang pulang kampung ke siantar,IB
exit clearence,IB
bertemu dengan keluarga(ib perdana),IB
libur natal dan tahun baru,IB
liburan akhir semester,IB
berjumpa dengan keluarga,IB
bertemu keluarga,IB
lockdown kampus dan melakukan perkuliahan jarak jauh dari rumah masing masing,IB
liburan uas,IB
refreshing setelah melakukan seminar ta-1,IB
bertemu dengan keluarga,IB
bertemu dengan keluarga,IB
berjumpa keluarga di siantar,IB
bertemu keluarga si siantar,IB
bertemu keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung ke sumatera utara,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung,IB
berjumpa dengan orang tua yang sedang pulang kampung ke siantar,IB
exit clearence,IB
bertemu dengan keluarga(ib perdana),IB
libur natal dan tahun baru,IB
liburan akhir semester,IB
berjumpa dengan keluarga,IB
bertemu keluarga,IB
lockdown kampus dan melakukan perkuliahan jarak jauh dari rumah masing masing,IB
liburan uas,IB
refreshing setelah melakukan seminar ta-1,IB
bertemu dengan keluarga,IB
bertemu dengan keluarga,IB
berjumpa keluarga di siantar,IB
bertemu keluarga si siantar,IB
bertemu keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
bertemu dengan keluarga di siantar,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung ke sumatera utara,IB
berjumpa dengan orang tua di siantar yang sedang pulang kampung,IB
berjumpa dengan orang tua yang sedang pulang kampung ke siantar,IB
exit clearence,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
bertemu orangtua,IB
libur natal dan tahun baru 2020,IB
libur uas,IB
pengerjaan proyek akhir dan bertemu orangtua.,IB
pa 1 dan bertemu orangtua,IB
menghindari penyebaran virus corona dan pjj,IB
bertemu dengan orangtua dan persiapan mbkm,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu keluarga,IB
bertemu dengan orangtua,IB
libur paskah dan bertemu orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
bertemu orangtua,IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
ingin bertemu orangtua,IB
bertemu dengan orangtua,IB
libur natal dan tahun baru,IB
libur uas,IB
proyek akhir,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
bertemu dengan orangtua,IB
ikut serta dalam peredaman virus corona.,IB
requirement gathering (pengumpulan data) pemenuhan tugas akhir 1 (ta 1) kepada stakeholders.,IB
bertemu keluarga,IB
menukar pakaian dan keperluan lainnya,IB
bertemu orangtua,IB
bertemu keluarga & pengerjaan ta,IB
bertemu orangtua & menukar pakaian,IB
libur natal & tahun baru,IB
bertemu keluarga dan menukarkan barang,IB
bertemu dengan orangtua,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
menghadiri closing & awarding ceremony my digital academy by mandiri di gedung menara mandiri,IB
bertemu orangtua,IB
bertemu orang tua dan kontrol kesehatan ke dokter,IB
bertemu dengan orangtua,IB
bertemu orangtua,IB
libur paskah bersama orangtua,IB
libur hari raya idul fitri 1444 hijriyah,IB
medical check up process selection odp bank mandiri,IB
"pulang kerumah, melakukan pelaksanaan uat ta",IB
bertemu dengan orangtua.,IB
bertemu orangtua,IB
berkumpul dengan orangtua,IB
bertemu orangtua )panitia pengganti yang terlambat request ib),IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
bertemu dengan orang tua,IB
bertemu dengan keluarga,IB
exit clearance,IB
bertemu dengan orangtua,IB
"ingin berkumpul dengan keluarga,  dalam menyambut hari natal dan tahun baru.",IB
"bertemu dengan orang tua, libur uas.",IB
ada urusan keluarga yang sangat penting.,IB
melakukan pembelajaran jarak jauh (pjj),IB
bertemu dengan orangtua,IB
ada urusan keluarga yang penting,IB
bertemu orang tua,IB
bertemu dengan orangtua,IB
merayakan hari paskah bersama keluarga,IB
libur lebaran,IB
ingin berobat diurut karena baru sakit,IB
"mengambil kartu atm bca, dan periksa mata",IB
